Understanding-the-effects-of-an-interdisciplinary-app_2020_Children-and-Yout,0.98876404,0.94736842,0.84932821,0.97902098,1,0.72321429,1,0,0,0,0,14,0
Blind-and-task-ware-multi-cell-bat_2020_Engineering-Science-and-Technology--,1,0.93617021,0.86399217,1,1,0.81283422,0.99766355,6,4,0,16,15,0
A-novel-combined-multi-battery-dataset-based-approach-for-enhance_2021_Energ,1,0.93617021,0.92230576,1,1,0.768,1,6,1,0,46,4,0
Synergistic-effect-of-3D-current-collector-structure-and-Ni-in_2020_Material,1,0.93877551,0.98622047,1,1,0.73096447,1,0,10,0,29,1,0
Asymptotic-Cost-Analysis-of-Intercalation-Lithium-Ion-Systems-for-M_2020_Jou,1,0.93333333,0,0,1,0,0,0,9,0,0,0,27
Roles-of-film-forming-additives-in-diluted-and-concentrate_2020_Electrochemi,1,0.93877551,0.99703923,1,1,0.75531915,1,1,2,0,30,1,0
Asymmetric-Temperature-Modulation-for-Extreme-Fast-Charging-of-Lith_2019_Jou,1,0.93333333,0,0,1,0,0,0,7,0,0,0,55
Discharge-properties-and-electrochemical-behaviors-of-_2020_Journal-of-Magne,1,0.92682927,0.82750716,1,1,0.74242424,0,4,4,0,7,43,0
Model-simplifications-and-their-impact-on-computational-com_2021_Journal-of-,1,0.94339623,0.99907834,1,1,0.52910053,0,7,1,0,30,16,0
Experimental-investigation-on-system-performances-and-transient-_2020_Energy,1,0.93023256,0.99929528,1,0,0.43668122,0.99074074,4,9,0,0,36,0
Assessing-the-measurement-invariance-and-antecedents-of-leg_2020_Journal-of-,1,0.94736842,0.93097468,1,1,0.61111111,0.99390244,2,0,0,1,103,0
Improving-thermal-conduction-across-cathode-electrolyte-interfa_2020_Materia,1,0.93877551,0.99792617,1,1,0.57718121,0.97727273,3,2,0,62,4,0
Capacity-fade-characteristics-of-nickel-based-lithium-ion-_2021_Journal-of-P,0.98461538,0.94339623,0.8852956,1,1,0.50761421,0,1,4,0,33,1,0
High-power-iron-phosphate-cathodes-by-atomic-layer-depo_2020_Solid-State-Ion,1,0.93023256,0.96593886,0.98136646,1,0.52991453,0.97222222,4,8,0,15,1,0
Ethylene-carbonate-free-electrolytes-for-Li-ion-battery--St_2020_Journal-of-,1,0.94339623,0.99884793,1,1,0.64754098,0,4,4,0,28,15,0
A-model-based-parametric-and-optimal-sizing-of-a-battery-hyd_2021_Advances-i,1,0.93877551,0.53225806,0,1,0.68316832,0.95,15,8,0,78,2,0
Selective-extraction-of-lithium--Li--and-preparation-of-batt_2019_Journal-of,0.1509434,0.94117647,0.99190861,0.99346405,1,0.62962963,0.96640827,4,4,0,46,1,0
Photovoltaic-battery-system-sizing-for-rural-electrification-in_2019_Applied,0.1025641,0.94117647,0.85795225,0.98265896,1,0.72955975,0.96296296,6,5,0,17,29,0
Protective-coatings-on-silicon-particles-and-their-effect-on_2020_Journal-of,1,0.93023256,0.99756454,1,1,0.78431373,1,3,2,0,0,0,48
Remaining-useful-life-prediction-of-lithium-ion-batteries-based_2021_Energy-,1,0.93023256,0.998604,1,0,0.68253968,0.99074074,15,2,0,7,29,0
Preparation-and-physico-chemical-investigation-of-anatase-TiO2-_2020_Energy-,0.71523179,0.93023256,0.97558442,0.99212598,0,0.48543689,0.99074074,1,6,0,0,6,0
Risk-management-over-the-life-cycle-of-lithium-_2021_Renewable-and-Sustainab,1,0.93333333,0.9992278,1,1,0.53974895,0,5,0,0,79,125,0
Atomically-Intimate-Contact-between-Solid-Electrolytes-and-Electro_2019_Matt,1,0.93023256,0,0,1,0,0,0,7,0,0,0,50
On-the-modelling-of-an-Acid-Base-Flow-Battery--An-innovative-ele_2020_Applie,0,0.94339623,0.99913793,1,1,0.40390879,0.97222222,8,10,0,3,39,0
Detection-of-Li-ion-battery-failure-and-venting-with-Carbon_2021_eTransporta,1,0.93617021,0.91407407,1,1,0.53386454,1,4,2,0,28,40,0
Role-of-impurity-copper-in-Li-ion-battery-recycling-to_2020_Journal-of-Power,0.86206897,0.94339623,0.99119374,1,1,0.67032967,0,3,2,0,37,1,0
Evaluation-of-a-ceramic-separator-for-use-in-rechargeab_2018_Journal-of-Powe,0.125,0.94117647,0.81625442,0,1,0.78212291,0.94418605,1,4,0,23,20,0
Side-reactions-and-stability-of-pre-treated-carbon-felt-electrodes-_2020_Car,0,0.93617021,0.43859649,0,1,0.70921986,0.98076923,2,3,0,52,1,0
Implementation-for-a-cloud-battery-management-system-based-on_2021_Energy-an,1,0.93617021,0.99662542,1,1,0.50761421,1,5,0,0,59,10,0
Evaluating-the-performance-of-liquid-immersing-preheati_2021_Applied-Thermal,1,0.95384615,0.9968254,1,1,0.54222222,0,3,8,0,4,32,0
The-preparation-of-V2CTx-by-facile-hydrothermal-ass_2020_Journal-of-Material,0.29059829,0.93023256,0,0,1,0,0,1,7,0,0,0,56
New-power-conversion-topology-for-battery-less-P_2020_Engineering-Science-an,1,0.93617021,0.93951947,1,1,0.98064516,0.99766355,14,7,0,25,2,0
Co-nanoparticles-embedded-N--S-codoped-hierarchically-por_2020_Journal-of-Ma,0.99053628,0.93023256,0.12159002,0,1,0,0.55516878,0,6,0,0,0,41
Stabilizing-Solid-Electrolyte-Anode-Interface-in-Li-Metal-Batteries-_2019_Jo,1,0.93333333,0,0,1,0,0,0,5,0,0,0,46
#NAME?,0.97560976,0.93023256,0.95241287,1,1,0.71084337,0.99561404,0,2,0,71,1,0
A-region-specific-raw-material-and-lithium-ion-battery-critical_2021_Applied,1,0.94339623,0.99900794,1,1,0.36904762,0,6,1,0,24,45,0
Hard-carbon-as-a-negative-electrode-material-for-potassium-ion-ba_2021_Carbo,0.98823529,0.84444444,0.92808219,1,1,0.56666667,1,8,1,0,35,1,0
The-impact-of-ambient-ozone-pollution-on-pneumonia--A-n_2020_Environment-Int,1,0.93877551,0.58139535,1,1,0.58653846,1,0,0,0,8,33,0
Coralloid-Carbon-Fiber-Based-Composite-Lithium-Anode-for-Robust-Lit_2018_Jou,1,0.93333333,0,0,1,0,0,0,5,0,0,0,59
Battery-voltage-and-state-of-power-prediction-based-on-an-impr_2020_Energy-R,1,0.93023256,0.98344901,1,0,0.48048048,0.99074074,5,6,0,3,48,0
Aqueous-multi-electron-electrolyte-for-hybrid-flow-ba_2020_Journal-of-Power-,0.98203593,0.93877551,0.7182377,0.97674419,1,0.55555556,1,2,3,0,0,0,66
Co-production-of-urban-climate-planning--Insights-from-the-Barcelo_2020_Citi,1,0.93877551,0.99895833,1,1,0.78841871,1,1,0,0,0,0,76
Ellipsometry-based-failure-analysis-on-translucent-LiMn0-5Ni_2021_Materials-,0,0.93617021,0.88337096,0.97345133,1,0.72489083,1,3,2,0,29,1,0
Battery-energy-storage-system-modeling--A-combined-co_2019_Journal-of-Energy,1,0.92682927,0.99851852,1,1,0.60240964,0.99444444,9,4,0,43,51,0
Power-control-and-simulation-of-a-building-integrated-stand-alo_2020_Energy-,1,0.93023256,0.99584532,1,0,0.57333333,0.99074074,16,10,0,0,75,0
